drugId	targetId
KNx31dH0rhC	spR5Yp_B389
KNx31dH0rhC	lAzaYnKpIs7
KNx31dH0rhC	WMknI2V1z-_
KNx31dH0rhC	Pxh9OmkIPc5
KNx31dH0rhC	RwbCvJs_I-A
KNx31dH0rhC	3c4BcBzD18D
KNx31dH0rhC	zv_C0_pvfv-
KNx31dH0rhC	qzHdXXijeEH
KNx31dH0rhC	b6v-QjYJyY8
KNx31dH0rhC	LOaigUReTj9
MSfIHNF3C29	spR5Yp_B389
MSfIHNF3C29	lAzaYnKpIs7
MSfIHNF3C29	WMknI2V1z-_
MSfIHNF3C29	Pxh9OmkIPc5
MSfIHNF3C29	RwbCvJs_I-A
MSfIHNF3C29	3c4BcBzD18D
MSfIHNF3C29	zv_C0_pvfv-
MSfIHNF3C29	qzHdXXijeEH
MSfIHNF3C29	b6v-QjYJyY8
MSfIHNF3C29	LOaigUReTj9
Ar26Opbkp99	spR5Yp_B389
Ar26Opbkp99	lAzaYnKpIs7
Ar26Opbkp99	WMknI2V1z-_
Ar26Opbkp99	Pxh9OmkIPc5
Ar26Opbkp99	RwbCvJs_I-A
Ar26Opbkp99	3c4BcBzD18D
Ar26Opbkp99	zv_C0_pvfv-
Ar26Opbkp99	qzHdXXijeEH
Ar26Opbkp99	b6v-QjYJyY8
Ar26Opbkp99	LOaigUReTj9
thIZiYpjtO6	l5GnzRoHcg4
thIZiYpjtO6	yYSrVknZJg6
thIZiYpjtO6	iznsaL-voQ_
thIZiYpjtO6	oWxxabsjtFF
thIZiYpjtO6	Vyrk96HYG26
thIZiYpjtO6	b6v-QjYJyY8
thIZiYpjtO6	LOaigUReTj9
TShVdr9bQq4	HMIMz3l1YZ8
TShVdr9bQq4	OTE442Gh9AF
TShVdr9bQq4	cGpYtT_-BX4
TShVdr9bQq4	4LA5blAl9oH
TShVdr9bQq4	3bp3SBgooR4
TShVdr9bQq4	I8erBAXcnmB
TShVdr9bQq4	kpr5mE2urT9
TShVdr9bQq4	jDIjbAU1FR-
TShVdr9bQq4	zv_C0_pvfv-
TShVdr9bQq4	b6v-QjYJyY8
TShVdr9bQq4	iZ_4DuAN70D
k9XNq8_nsI8	HMIMz3l1YZ8
k9XNq8_nsI8	OTE442Gh9AF
k9XNq8_nsI8	WIKswV2HgL6
k9XNq8_nsI8	gZkhLag-kq4
k9XNq8_nsI8	p9muWuJMoX4
k9XNq8_nsI8	-ucvKv_6u5D
k9XNq8_nsI8	XMVgP792cY8
k9XNq8_nsI8	hd2tsLIRCPD
k9XNq8_nsI8	xrbmB3FKLnH
k9XNq8_nsI8	ml3GE3xUM8D
k9XNq8_nsI8	r4c1kU8JgAG
k9XNq8_nsI8	bLSYZdzTG66
k9XNq8_nsI8	dduKFb0LSt4
k9XNq8_nsI8	zv_C0_pvfv-
k9XNq8_nsI8	wTLZM5eaMWH
k9XNq8_nsI8	wm0OEo6PEvB
k9XNq8_nsI8	1Ja1Uz0IcjD
k9XNq8_nsI8	REmVpuZNJTA
k9XNq8_nsI8	b6v-QjYJyY8
k9XNq8_nsI8	-Z5R8XsJPUG
k9XNq8_nsI8	7opD5Fm831B
k9XNq8_nsI8	56-7suvkfe4
k9XNq8_nsI8	I9WYexGEXV-
k9XNq8_nsI8	IyLNLpErY5F
k9XNq8_nsI8	NriXzR952y6
k9XNq8_nsI8	d4HK8asB24A
k9XNq8_nsI8	-VW30v7sLkC
sGgIU3seZFD	spR5Yp_B389
sGgIU3seZFD	lAzaYnKpIs7
sGgIU3seZFD	WMknI2V1z-_
sGgIU3seZFD	Pxh9OmkIPc5
sGgIU3seZFD	RwbCvJs_I-A
sGgIU3seZFD	3c4BcBzD18D
sGgIU3seZFD	zv_C0_pvfv-
sGgIU3seZFD	qzHdXXijeEH
sGgIU3seZFD	b6v-QjYJyY8
sGgIU3seZFD	LOaigUReTj9
av67BXVd55A	HMIMz3l1YZ8
av67BXVd55A	OTE442Gh9AF
av67BXVd55A	cRp9x-RNlv4
av67BXVd55A	hMjFn1lDRPF
av67BXVd55A	2Gd3nxQ1EF7
av67BXVd55A	zv_C0_pvfv-
av67BXVd55A	b6v-QjYJyY8
av67BXVd55A	7XY4b1wYQI6
g8QdD130hGG	p0qM8LDpXgD
g8QdD130hGG	ORwHgsvtYg6
g8QdD130hGG	oZabPCDD1O9
g8QdD130hGG	b6v-QjYJyY8
g8QdD130hGG	sOM7VDl-53-
G7yos_ec0c8	l5GnzRoHcg4
G7yos_ec0c8	2OC5XnoBULD
G7yos_ec0c8	XFfCYHMndi9
G7yos_ec0c8	OxkA7tU1buH
G7yos_ec0c8	iznsaL-voQ_
G7yos_ec0c8	oWxxabsjtFF
G7yos_ec0c8	zz_hAEg1ZAG
G7yos_ec0c8	Vyrk96HYG26
G7yos_ec0c8	b6v-QjYJyY8
G7yos_ec0c8	sOM7VDl-53-
G7yos_ec0c8	LOaigUReTj9
50YhwRPbUAG	l5GnzRoHcg4
50YhwRPbUAG	yYSrVknZJg6
50YhwRPbUAG	iznsaL-voQ_
50YhwRPbUAG	oWxxabsjtFF
50YhwRPbUAG	Vyrk96HYG26
50YhwRPbUAG	b6v-QjYJyY8
50YhwRPbUAG	LOaigUReTj9
AjTKA_1SkEF	HMIMz3l1YZ8
AjTKA_1SkEF	OTE442Gh9AF
AjTKA_1SkEF	WIKswV2HgL6
AjTKA_1SkEF	wm0OEo6PEvB
AjTKA_1SkEF	gZkhLag-kq4
AjTKA_1SkEF	p9muWuJMoX4
AjTKA_1SkEF	JiULTqkbDy6
AjTKA_1SkEF	QiUt546ZCT8
AjTKA_1SkEF	9zV7wTKQpRH
AjTKA_1SkEF	b6v-QjYJyY8
AjTKA_1SkEF	-ucvKv_6u5D
AjTKA_1SkEF	e6flLvFa42B
AjTKA_1SkEF	56-7suvkfe4
AjTKA_1SkEF	ml3GE3xUM8D
AjTKA_1SkEF	r4c1kU8JgAG
AjTKA_1SkEF	IyLNLpErY5F
AjTKA_1SkEF	2sOSh1Vd3-C
AjTKA_1SkEF	NriXzR952y6
AjTKA_1SkEF	bLSYZdzTG66
AjTKA_1SkEF	d4HK8asB24A
AjTKA_1SkEF	zv_C0_pvfv-
AjTKA_1SkEF	-VW30v7sLkC
AjTKA_1SkEF	wTLZM5eaMWH
ZthxASgN9I4	spR5Yp_B389
ZthxASgN9I4	lAzaYnKpIs7
ZthxASgN9I4	WMknI2V1z-_
ZthxASgN9I4	Pxh9OmkIPc5
ZthxASgN9I4	RwbCvJs_I-A
ZthxASgN9I4	3c4BcBzD18D
ZthxASgN9I4	zv_C0_pvfv-
ZthxASgN9I4	qzHdXXijeEH
ZthxASgN9I4	b6v-QjYJyY8
ZthxASgN9I4	LOaigUReTj9
6rQV0pcr0sG	cqvNGvG8RI9
6rQV0pcr0sG	HMIMz3l1YZ8
6rQV0pcr0sG	OTE442Gh9AF
6rQV0pcr0sG	hMjFn1lDRPF
6rQV0pcr0sG	2fRwapXZwq_
6rQV0pcr0sG	ZE7xADhwla-
6rQV0pcr0sG	zf0uZu6PkK_
6rQV0pcr0sG	zv_C0_pvfv-
6rQV0pcr0sG	b6v-QjYJyY8
6rQV0pcr0sG	7XY4b1wYQI6
ohoORL8In_B	HMIMz3l1YZ8
ohoORL8In_B	dcgws5Sc1f4
ohoORL8In_B	VYhs4CcO9q6
ohoORL8In_B	e47WD6WA6W_
ohoORL8In_B	6NRJyqaT9AE
ohoORL8In_B	5GwZsO16huB
ohoORL8In_B	zv_C0_pvfv-
ohoORL8In_B	b6v-QjYJyY8
