drugId	indicationId
byyF1UWyRX-	7S1rk1mIb4F
byyF1UWyRX-	rtI4LZBnmD7
byyF1UWyRX-	x8xZnmZJTa9
byyF1UWyRX-	yKeTZv8ZoM4
byyF1UWyRX-	SCOON9IHEK7
byyF1UWyRX-	0MdTdfZrYG5
byyF1UWyRX-	kA9pOvHRmG4
byyF1UWyRX-	qEfbAoCPi7-
byyF1UWyRX-	nT2Rzo5AP97
byyF1UWyRX-	2GQ7uJji2g9
byyF1UWyRX-	onDI6Eaa2zE
byyF1UWyRX-	3nUpVoedx_H
byyF1UWyRX-	eHLSFXKxmu5
byyF1UWyRX-	ZrAX6clLKbC
byyF1UWyRX-	OOyN7SYJ6N8
byyF1UWyRX-	KNVnjYznQfD
byyF1UWyRX-	FkDd1ImGsqA
byyF1UWyRX-	C66ZfKkP_dH
byyF1UWyRX-	SEaWphKQj9_
byyF1UWyRX-	Ol3vwNvT4rH
byyF1UWyRX-	bKLDeRkyAz9
byyF1UWyRX-	VSQpt8_vpW7
byyF1UWyRX-	lTB8pa_Inn_
Jh3lq1YmAdH	-gXK3RQQf94
Jh3lq1YmAdH	fDSfXlXXvd-
Jh3lq1YmAdH	a8cRj3dQjdH
Jh3lq1YmAdH	70RPo_sRDdD
Jh3lq1YmAdH	wdw2Ncv3zD9
Jh3lq1YmAdH	HhD8XsFrmzB
Jh3lq1YmAdH	xcL3Y9w8hB7
Jh3lq1YmAdH	IIoH7ATCb85
Jh3lq1YmAdH	RCHgLRO1C0F
Jh3lq1YmAdH	CtFoMNkaGiB
Jh3lq1YmAdH	-0tjnCrMfRD
Jh3lq1YmAdH	vbkJ7369gzC
tKIX21qm8n-	eOcFiPF8J2B
tKIX21qm8n-	e0V_xjxN6KA
tKIX21qm8n-	SSAdOfSH37F
tKIX21qm8n-	WzJ1-khu5pE
tKIX21qm8n-	pUjzCiBr8P-
tKIX21qm8n-	iixyAPmp5N4
tKIX21qm8n-	rphZVbPeDE_
tKIX21qm8n-	sRe9BbRGUm5
tKIX21qm8n-	81SgcXqcGY4
tKIX21qm8n-	miJ3GuiNLL_
tKIX21qm8n-	7S1rk1mIb4F
tKIX21qm8n-	RWmgbKoEnT9
tKIX21qm8n-	x8xZnmZJTa9
tKIX21qm8n-	kA9pOvHRmG4
tKIX21qm8n-	euFPYeUYks7
tKIX21qm8n-	P-SiJDxp1P7
tKIX21qm8n-	lHQ5V9MgixB
tKIX21qm8n-	H_qs3I8kqsD
tKIX21qm8n-	Rb7D2-Pob2_
tKIX21qm8n-	XEksNbufsf8
tKIX21qm8n-	ZrAX6clLKbC
tKIX21qm8n-	80CqZhGWJ5H
tKIX21qm8n-	6pfQuKme8r5
tKIX21qm8n-	4c2sC_G8W_4
tKIX21qm8n-	tX4IOc7eQxB
tKIX21qm8n-	UTJdtric1t-
tKIX21qm8n-	C66ZfKkP_dH
tKIX21qm8n-	QUrsi8z598G
tKIX21qm8n-	SEaWphKQj9_
tKIX21qm8n-	Ol3vwNvT4rH
tKIX21qm8n-	1JkZevv_f9-
tKIX21qm8n-	VG0DvNSXbrC
CQ3VHkr8mCE	eOcFiPF8J2B
CQ3VHkr8mCE	Rb7D2-Pob2_
CQ3VHkr8mCE	K6f195Y0WkG
CQ3VHkr8mCE	3nUpVoedx_H
CQ3VHkr8mCE	y7O2VOy6rd_
CQ3VHkr8mCE	qaqnjzoQt56
CQ3VHkr8mCE	PIcG_cHGM1B
CQ3VHkr8mCE	1v41LdEJmG-
CQ3VHkr8mCE	x8xZnmZJTa9
CQ3VHkr8mCE	cSd5fGMfSU4
CQ3VHkr8mCE	0MdTdfZrYG5
CQ3VHkr8mCE	8My6j02wjv_
CQ3VHkr8mCE	49_uPRMdypA
8jeCwgBo0gH	_kwQKyhG9RC
8jeCwgBo0gH	U0vq7Ep0kC6
8jeCwgBo0gH	7Ir1kFfcowD
8jeCwgBo0gH	EqcFY-oC8iD
8jeCwgBo0gH	QUrsi8z598G
8jeCwgBo0gH	7S1rk1mIb4F
8jeCwgBo0gH	VaODppaQkO9
8jeCwgBo0gH	4LTj8Zq_mQF
8jeCwgBo0gH	3VcRE6SxVSC
8jeCwgBo0gH	GMvKuS6ZtM_
tEFgHK6lFj4	qYLT2rrpRH-
tEFgHK6lFj4	na1DsuH4AKC
tEFgHK6lFj4	6opDy3dpNT9
tEFgHK6lFj4	dQ9w1WCfYhG
tEFgHK6lFj4	k4hmTepfpG5
tEFgHK6lFj4	rW8kYSjKQ35
tEFgHK6lFj4	wr02vk6dfaA
tEFgHK6lFj4	jFu0bW7X-kA
tEFgHK6lFj4	7S1rk1mIb4F
tEFgHK6lFj4	BJrAbQPD_v4
tEFgHK6lFj4	roN0uO4Y5q-
tEFgHK6lFj4	G8bs0Wkeh7H
tEFgHK6lFj4	0MdTdfZrYG5
tEFgHK6lFj4	5_waYaJSMFC
tEFgHK6lFj4	nT2Rzo5AP97
tEFgHK6lFj4	yJwwNPKkybF
tEFgHK6lFj4	pRbSDGunngE
tEFgHK6lFj4	ZrAX6clLKbC
tEFgHK6lFj4	wbS59YENVI-
tEFgHK6lFj4	tX4IOc7eQxB
tEFgHK6lFj4	SEaWphKQj9_
tEFgHK6lFj4	QUrsi8z598G
tEFgHK6lFj4	qaqnjzoQt56
tEFgHK6lFj4	1v41LdEJmG-
tEFgHK6lFj4	VEIgSnhlX2D
kK3T5jgW_y-	qYLT2rrpRH-
kK3T5jgW_y-	yJwwNPKkybF
kK3T5jgW_y-	rW8kYSjKQ35
kK3T5jgW_y-	VEIgSnhlX2D
kK3T5jgW_y-	G8bs0Wkeh7H
ZMkynd_Puq6	o48WwEif81E
ZMkynd_Puq6	lXgIdv3jhSG
ZMkynd_Puq6	7Ir1kFfcowD
ZMkynd_Puq6	NfdJQxzFltH
ZMkynd_Puq6	JVCZXloCjUD
ZMkynd_Puq6	3VcRE6SxVSC
ZMkynd_Puq6	Jg9Y-pKIRPE
njdXib6SzXC	5_waYaJSMFC
njdXib6SzXC	6opDy3dpNT9
njdXib6SzXC	dQ9w1WCfYhG
njdXib6SzXC	BJrAbQPD_v4
njdXib6SzXC	wbS59YENVI-
gGvtFu1YTp7	o48WwEif81E
gGvtFu1YTp7	jdBMmEs8G0A
gGvtFu1YTp7	7Ir1kFfcowD
gGvtFu1YTp7	QUrsi8z598G
gGvtFu1YTp7	JVCZXloCjUD
gGvtFu1YTp7	L3B4rLNrDgA
gGvtFu1YTp7	7kpP-0UWzf5
gGvtFu1YTp7	oivDmB_YmC_
gGvtFu1YTp7	3VcRE6SxVSC
gGvtFu1YTp7	Jg9Y-pKIRPE
EBKxRV3FAgH	jdBMmEs8G0A
EBKxRV3FAgH	0xz_87G7tYE
EBKxRV3FAgH	2GQ7uJji2g9
EBKxRV3FAgH	QUrsi8z598G
EBKxRV3FAgH	VLQncyZ27K4
EBKxRV3FAgH	Zpd-weEFSb_
EBKxRV3FAgH	0FUzDe2PG99
EBKxRV3FAgH	PxEB2rymDo-
EBKxRV3FAgH	xX_KoE1ocxH
EBKxRV3FAgH	1fyz0ccDHp4
EBKxRV3FAgH	4tii3BpzzP5
XmQY3Ex4R46	PIcG_cHGM1B
XmQY3Ex4R46	K6f195Y0WkG
XmQY3Ex4R46	1v41LdEJmG-
XmQY3Ex4R46	KQMYSNhzixE
XmQY3Ex4R46	0MdTdfZrYG5
XmQY3Ex4R46	49_uPRMdypA
BpdpD6zeu8D	eOcFiPF8J2B
BpdpD6zeu8D	Rb7D2-Pob2_
BpdpD6zeu8D	K6f195Y0WkG
BpdpD6zeu8D	3nUpVoedx_H
BpdpD6zeu8D	y7O2VOy6rd_
BpdpD6zeu8D	qaqnjzoQt56
BpdpD6zeu8D	PIcG_cHGM1B
BpdpD6zeu8D	1v41LdEJmG-
BpdpD6zeu8D	KQMYSNhzixE
BpdpD6zeu8D	x8xZnmZJTa9
BpdpD6zeu8D	cSd5fGMfSU4
BpdpD6zeu8D	0MdTdfZrYG5
BpdpD6zeu8D	8My6j02wjv_
BpdpD6zeu8D	49_uPRMdypA
-gh3nPoSrbC	YCPJ3XsmDAC
-gh3nPoSrbC	LbK8CNgV5RB
-gh3nPoSrbC	eHLSFXKxmu5
-gh3nPoSrbC	uiN30SvFyNA
-gh3nPoSrbC	Y84hZOqUPYD
-gh3nPoSrbC	lTB8pa_Inn_
izv_8xI_QND	YCPJ3XsmDAC
izv_8xI_QND	LbK8CNgV5RB
izv_8xI_QND	eHLSFXKxmu5
izv_8xI_QND	uiN30SvFyNA
izv_8xI_QND	Y84hZOqUPYD
izv_8xI_QND	lTB8pa_Inn_
nV4kTj29ImA	YCPJ3XsmDAC
nV4kTj29ImA	LbK8CNgV5RB
nV4kTj29ImA	eHLSFXKxmu5
nV4kTj29ImA	uiN30SvFyNA
nV4kTj29ImA	Y84hZOqUPYD
nV4kTj29ImA	lTB8pa_Inn_
GXJ5SAwHds4	KXEjY_pkN0F
GXJ5SAwHds4	uiN30SvFyNA
